CARRETERA,YEAR,n_total,n_bad_surface,RCII_pct,imd_road_mean,road_passages,RCII_rate_per100M,RCII_level
M-124,2023,2,1,50.0,549.0,200385.0,499.0393492526886,High
M-124,2024,1,0,0.0,614.0,224110.0,0.0,Low
M-126,2016,1,0,0.0,,,,Low
M-126,2019,1,0,0.0,345.0,125925.0,0.0,Low
M-126,2020,1,1,100.0,,,,High
M-126,2023,1,0,0.0,451.0,164615.0,0.0,Low
M-127,2016,5,0,0.0,,,,Low
M-127,2017,8,0,0.0,,,,Low
M-127,2018,3,0,0.0,692.3333333333334,252701.6666666667,0.0,Low
M-127,2019,4,0,0.0,513.0,187245.0,0.0,Low
M-127,2020,3,0,0.0,,,,Low
M-127,2021,8,0,0.0,1115.6666666666667,407218.3333333334,0.0,Low
M-127,2022,6,0,0.0,985.0,359525.0,0.0,Low
M-127,2023,3,0,0.0,971.0,354415.0,0.0,Low
M-127,2024,6,0,0.0,1320.6666666666667,482043.3333333334,0.0,Low
M-128,2020,1,0,0.0,,,,Low
M-129,2016,2,0,0.0,,,,Low
M-129,2017,2,0,0.0,,,,Low
M-129,2018,1,0,0.0,1335.0,487275.0,0.0,Low
M-129,2020,2,0,0.0,,,,Low
M-129,2021,1,0,0.0,2095.3333333333335,764796.6666666667,0.0,Low
M-129,2022,1,1,100.0,1671.6666666666667,610158.3333333334,163.891885985878,High
M-129,2023,2,0,0.0,1837.0,670505.0,0.0,Low
M-129,2024,4,0,0.0,1959.6666666666667,715278.3333333334,0.0,Low
M-13,2017,1,0,0.0,,,,Low
M-13,2018,1,0,0.0,,,,Low
M-13,2019,1,0,0.0,,,,Low
M-13,2023,1,0,0.0,,,,Low
M-13,2024,3,0,0.0,,,,Low
M-130,2019,1,0,0.0,230.0,83950.0,0.0,Low
M-130,2020,2,0,0.0,,,,Low
M-130,2021,1,0,0.0,215.0,78475.0,0.0,Low
M-130,2022,3,0,0.0,187.0,68255.0,0.0,Low
M-130,2023,1,1,100.0,241.5,88147.5,1134.4621231458634,High
M-130,2024,4,1,25.0,250.5,91432.5,1093.703004949006,High
M-131,2016,6,0,0.0,,,,Low
M-131,2017,4,0,0.0,,,,Low
M-131,2018,5,0,0.0,461.0,168265.0,0.0,Low
M-131,2019,8,0,0.0,631.0,230315.0,0.0,Low
M-131,2020,6,0,0.0,,,,Low
M-131,2021,3,0,0.0,517.0,188705.0,0.0,Low
M-131,2022,7,1,14.2857,495.0,180675.0,553.4800055348001,Medium
M-131,2023,3,1,33.3333,509.0,185785.0,538.2565869149823,High
M-131,2024,4,0,0.0,538.0,196370.0,0.0,Low
M-132,2023,1,0,0.0,428.0,156220.0,0.0,Low
M-132,2024,1,0,0.0,466.0,170090.0,0.0,Low
M-133,2016,8,0,0.0,,,,Low
M-133,2017,8,1,12.5,,,,Medium
M-133,2018,4,0,0.0,254.0,92710.0,0.0,Low
M-133,2019,11,0,0.0,234.0,85410.0,0.0,Low
M-133,2020,10,0,0.0,,,,Low
M-133,2021,11,0,0.0,215.0,78475.0,0.0,Low
M-133,2022,8,0,0.0,185.0,67525.0,0.0,Low
M-133,2023,5,0,0.0,190.0,69350.0,0.0,Low
M-133,2024,4,0,0.0,177.0,64605.0,0.0,Low
M-134,2017,3,1,33.3333,,,,High
M-134,2018,4,0,0.0,185.0,67525.0,0.0,Low
M-134,2019,4,0,0.0,410.0,149650.0,0.0,Low
M-134,2020,1,0,0.0,,,,Low
M-134,2021,2,0,0.0,925.0,337625.0,0.0,Low
M-134,2023,2,0,0.0,492.0,179580.0,0.0,Low
M-134,2024,3,0,0.0,529.0,193085.0,0.0,Low
M-135,2017,1,0,0.0,,,,Low
M-135,2018,4,0,0.0,860.0,313900.0,0.0,Low
M-135,2020,1,0,0.0,,,,Low
