COD_MUNICIPIO,YEAR,n_total,n_proxy_substance,RADAR_proxy_pct
28075,2022,20,0,0.0
28075,2023,14,1,7.1429
28075,2024,17,0,0.0
28079,2016,654,49,7.4924
28079,2017,710,47,6.6197
28079,2018,734,49,6.6757
28079,2019,626,47,7.508
28079,2020,347,56,16.1383
28079,2021,495,48,9.697
28079,2022,565,51,9.0265
28079,2023,528,60,11.3636
28079,2024,524,50,9.542
28080,2016,91,0,0.0
28080,2017,71,0,0.0
28080,2018,67,0,0.0
28080,2019,61,1,1.6393
28080,2020,43,5,11.6279
28080,2021,61,2,3.2787
28080,2022,59,3,5.0847
28080,2023,61,2,3.2787
28080,2024,40,1,2.5
28082,2016,14,0,0.0
28082,2017,13,1,7.6923
28082,2018,15,0,0.0
28082,2019,14,0,0.0
28082,2020,12,0,0.0
28082,2021,14,0,0.0
28082,2022,9,1,11.1111
28082,2023,2,0,0.0
28082,2024,11,0,0.0
28083,2016,5,0,0.0
28083,2017,13,0,0.0
28083,2018,11,0,0.0
28083,2019,8,0,0.0
28083,2020,6,0,0.0
28083,2021,6,0,0.0
28083,2022,8,0,0.0
28083,2023,9,0,0.0
28083,2024,3,0,0.0
28084,2016,15,0,0.0
28084,2017,15,0,0.0
28084,2018,8,0,0.0
28084,2019,17,0,0.0
28084,2020,17,0,0.0
28084,2021,20,0,0.0
28084,2022,18,0,0.0
28084,2023,16,0,0.0
28084,2024,19,0,0.0
28085,2016,9,0,0.0
28085,2017,13,0,0.0
28085,2018,12,0,0.0
28085,2019,18,0,0.0
28085,2020,12,0,0.0
28085,2021,18,0,0.0
28085,2022,11,0,0.0
28085,2023,8,1,12.5
28085,2024,12,0,0.0
28086,2016,13,0,0.0
28086,2017,13,0,0.0
28086,2018,19,0,0.0
28086,2019,10,0,0.0
28086,2020,10,0,0.0
28086,2021,12,0,0.0
28086,2022,9,0,0.0
28086,2023,9,0,0.0
28086,2024,17,0,0.0
28089,2018,4,0,0.0
28089,2019,4,0,0.0
28089,2020,6,0,0.0
28089,2021,4,0,0.0
28089,2022,4,0,0.0
28089,2023,2,0,0.0
28089,2024,6,0,0.0
28090,2016,10,0,0.0
28090,2017,8,0,0.0
28090,2018,8,0,0.0
28090,2019,5,0,0.0
28090,2020,7,0,0.0
28090,2021,5,0,0.0
28090,2022,11,0,0.0
28090,2023,9,0,0.0
28090,2024,9,0,0.0
28091,2016,6,0,0.0
28091,2017,5,0,0.0
28091,2018,5,0,0.0
28091,2019,11,0,0.0
28091,2020,2,0,0.0
28091,2021,6,0,0.0
28091,2022,13,0,0.0
28091,2023,9,0,0.0
28091,2024,7,1,14.2857
28092,2016,64,4,6.25
28092,2017,92,2,2.1739
28092,2018,72,4,5.5556
28092,2019,81,4,4.9383
28092,2020,38,1,2.6316
28092,2021,50,1,2.0
28092,2022,52,4,7.6923
28092,2023,72,0,0.0
28092,2024,80,1,1.25
28096,2016,31,0,0.0
28096,2017,37,0,0.0
28096,2018,60,0,0.0
28096,2019,53,0,0.0
28096,2020,34,0,0.0
28096,2021,35,0,0.0
28096,2022,44,0,0.0
28096,2023,40,0,0.0
28096,2024,54,0,0.0
28100,2016,5,0,0.0
28100,2017,1,0,0.0
28100,2018,2,0,0.0
28100,2019,1,0,0.0
28100,2020,2,0,0.0
28100,2023,7,0,0.0
28100,2024,1,0,0.0
28104,2016,27,1,3.7037
28104,2017,26,0,0.0
28104,2018,20,0,0.0
28104,2019,28,0,0.0
