SECCION_ID,YEAR,n_accidents,n_fatal,n_serious,n_victims_30d,n_vehicles_inv,imd_mean,vehicle_passages,ACI,aci_mean,aci_std,threshold_TCA,IS_TCA,ACI_rank_year,CARRETERA
A-1_39,2024,3,0,1,4,5,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_40,2016,1,0,0,1,2,,,,,,,0,1,A-1
A-1_40,2017,1,0,0,1,1,,,,,,,0,1,A-1
A-1_40,2018,6,0,0,8,9,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_40,2020,1,0,0,1,1,,,,,,,0,1,A-1
A-1_40,2021,1,0,0,1,1,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_40,2022,1,0,0,4,3,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_40,2024,1,0,0,1,2,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_41,2017,2,0,0,4,4,,,,,,,0,1,A-1
A-1_41,2019,2,0,2,3,2,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_41,2020,3,0,0,5,5,,,,,,,0,1,A-1
A-1_41,2021,2,0,0,2,2,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_41,2022,1,0,0,1,2,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_41,2023,3,0,0,4,5,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
A-1_41,2024,2,0,0,3,3,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_42,2016,1,0,0,1,1,,,,,,,0,1,A-1
A-1_42,2017,1,0,0,3,3,,,,,,,0,1,A-1
A-1_42,2018,4,0,0,4,4,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_42,2021,1,0,0,4,8,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_42,2022,1,0,0,1,2,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_42,2024,1,0,0,1,2,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_43,2019,1,0,0,1,2,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_43,2021,2,0,0,3,3,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_44,2019,1,1,0,2,3,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_44,2020,1,0,0,1,3,,,,,,,0,1,A-1
A-1_44,2024,1,0,0,1,2,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_45,2016,1,0,0,4,2,,,,,,,0,1,A-1
A-1_45,2017,1,0,0,1,1,,,,,,,0,1,A-1
A-1_45,2018,2,0,1,6,3,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_45,2019,1,0,0,3,3,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_45,2020,1,0,0,1,4,,,,,,,0,1,A-1
