CARRETERA,total_accidents,total_fatal_30d,total_serious_30d,total_victims_30d,total_bad_surface,total_proxy_substance,n_TCA_sections,ASI_pct,RCII_pct,RADAR_proxy_pct,dominant_cause
ACEQUIAS (DE LAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACEREIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACERES (DE LOS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACERO (DEL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACEUCHAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACEÑA (DE LA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACHICORIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACHURI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACIEGO DE MENDOZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACNUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACONCAGUA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACONCAGUA (DEL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACONITO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACROPOLIS DE ATENAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACTORES (DE LOS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACTUACION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACUARELA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACUARELA (DE LA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACUARIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACUARTELAMIENTO PRIMO DE RIVERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACUEDUCTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACUEDUCTO DE SEGOVIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACUERDO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADA LOVELACE (DE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADAJA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADAM SMITH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADANERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADAPTACION (DE LA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADARGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADARGA ANTIGUA (DE LA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADELA BALBOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADELA GINES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADELFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADELFAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADELFAS (DE LAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADELINA PATTI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADEMUZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADOBES (LOS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADOLFO BIOY CASARES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADOLFO BOLLAIN (DE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADOLFO MARSILLACH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADOLFO MARSILLACH (DE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADOLFO PEREZ ESQUIVEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADOLFO SUAREZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADOLFO SUAREZ (DE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADOLFO Y VICTOR SANZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
