CARRETERA,YEAR,n_accidents,n_fatal_30d,n_serious_30d,yoy_delta_abs,yoy_delta_pct,is_covid_year
M-503,2021,61,0,2,8.0,15.09,True
M-503,2022,50,0,0,-11.0,-18.03,False
M-503,2023,46,1,4,-4.0,-8.0,False
M-503,2024,33,1,2,-13.0,-28.26,False
M-505,2016,59,2,7,,,False
M-505,2017,50,0,2,-9.0,-15.25,False
M-505,2018,67,3,4,17.0,34.0,False
M-505,2019,76,0,6,9.0,13.43,False
M-505,2020,38,1,2,-38.0,-50.0,True
M-505,2021,52,0,4,14.0,36.84,True
M-505,2022,51,0,3,-1.0,-1.92,False
M-505,2023,41,3,12,-10.0,-19.61,False
M-505,2024,50,2,7,9.0,21.95,False
M-506,2016,125,4,6,,,False
M-506,2017,94,1,5,-31.0,-24.8,False
M-506,2018,99,1,2,5.0,5.32,False
M-506,2019,61,0,3,-38.0,-38.38,False
M-506,2020,60,2,8,-1.0,-1.64,True
M-506,2021,71,2,1,11.0,18.33,True
M-506,2022,77,2,1,6.0,8.45,False
M-506,2023,107,2,7,30.0,38.96,False
M-506,2024,80,1,5,-27.0,-25.23,False
M-506A,2024,2,0,0,,,False
M-506RE,2021,1,1,0,,,True
M-507,2016,16,0,3,,,False
M-507,2017,18,0,1,2.0,12.5,False
M-507,2018,15,0,2,-3.0,-16.67,False
M-507,2019,16,2,3,1.0,6.67,False
M-507,2020,21,2,3,5.0,31.25,True
M-507,2021,21,0,4,0.0,0.0,True
M-507,2022,16,2,1,-5.0,-23.81,False
M-507,2023,14,1,5,-2.0,-12.5,False
M-507,2024,23,1,1,9.0,64.29,False
M-508,2016,1,0,0,,,False
M-508,2019,1,0,0,0.0,0.0,False
M-508A,2023,1,0,0,,,False
M-509,2016,5,0,0,,,False
M-509,2017,11,0,0,6.0,120.0,False
M-509,2018,13,0,1,2.0,18.18,False
M-509,2019,9,1,2,-4.0,-30.77,False
M-509,2020,8,1,0,-1.0,-11.11,True
M-509,2021,10,1,0,2.0,25.0,True
M-509,2022,10,0,0,0.0,0.0,False
M-509,2023,9,0,0,-1.0,-10.0,False
M-509,2024,9,0,1,0.0,0.0,False
M-510,2016,23,1,0,,,False
M-510,2017,24,0,0,1.0,4.35,False
M-510,2018,30,1,6,6.0,25.0,False
M-510,2019,30,0,5,0.0,0.0,False
M-510,2020,17,0,1,-13.0,-43.33,True
M-510,2021,27,1,1,10.0,58.82,True
M-510,2022,23,2,5,-4.0,-14.81,False
M-510,2023,19,2,3,-4.0,-17.39,False
M-510,2024,15,0,2,-4.0,-21.05,False
M-511,2016,8,1,2,,,False
