CARRETERA,TIPO_ACCIDENTE_LABEL,YEAR,n_accidents,n_total_road_year,rel_freq_pct
A-2,Salida de la vía por la derecha con vuelco,2020,3,100,3.0
A-2,Salida de la vía por la derecha con vuelco,2021,1,135,0.7407
A-2,Salida de la vía por la derecha con vuelco,2022,1,203,0.4926
A-2,Salida de la vía por la derecha con vuelco,2023,4,168,2.381
A-2,Salida de la vía por la derecha con vuelco,2024,2,106,1.8868
A-2,Salida de la vía por la derecha otro tipo,2016,8,181,4.4199
A-2,Salida de la vía por la derecha otro tipo,2017,5,166,3.012
A-2,Salida de la vía por la derecha otro tipo,2018,3,183,1.6393
A-2,Salida de la vía por la derecha otro tipo,2019,5,151,3.3113
A-2,Salida de la vía por la derecha otro tipo,2020,5,100,5.0
A-2,Salida de la vía por la derecha otro tipo,2021,1,135,0.7407
A-2,Salida de la vía por la derecha otro tipo,2022,5,203,2.4631
A-2,Salida de la vía por la derecha otro tipo,2023,3,168,1.7857
A-2,Salida de la vía por la derecha otro tipo,2024,1,106,0.9434
A-2,Salida de la vía por la izquierda con colisión,2016,19,181,10.4972
A-2,Salida de la vía por la izquierda con colisión,2017,11,166,6.6265
A-2,Salida de la vía por la izquierda con colisión,2018,9,183,4.918
A-2,Salida de la vía por la izquierda con colisión,2019,5,151,3.3113
A-2,Salida de la vía por la izquierda con colisión,2020,9,100,9.0
A-2,Salida de la vía por la izquierda con colisión,2021,8,135,5.9259
A-2,Salida de la vía por la izquierda con colisión,2022,16,203,7.8818
A-2,Salida de la vía por la izquierda con colisión,2023,12,168,7.1429
A-2,Salida de la vía por la izquierda con colisión,2024,11,106,10.3774
A-2,Salida de la vía por la izquierda con despeñamiento,2018,1,183,0.5464
A-2,Salida de la vía por la izquierda con vuelco,2016,3,181,1.6575
A-2,Salida de la vía por la izquierda con vuelco,2017,3,166,1.8072
A-2,Salida de la vía por la izquierda con vuelco,2018,6,183,3.2787
A-2,Salida de la vía por la izquierda con vuelco,2019,4,151,2.649
A-2,Salida de la vía por la izquierda con vuelco,2020,6,100,6.0
A-2,Salida de la vía por la izquierda con vuelco,2021,1,135,0.7407
A-2,Salida de la vía por la izquierda con vuelco,2022,6,203,2.9557
A-2,Salida de la vía por la izquierda con vuelco,2023,1,168,0.5952
A-2,Salida de la vía por la izquierda con vuelco,2024,3,106,2.8302
A-2,"Salida de la vía por la izquierda, otro tipo",2016,3,181,1.6575
A-2,"Salida de la vía por la izquierda, otro tipo",2017,2,166,1.2048
A-2,"Salida de la vía por la izquierda, otro tipo",2018,7,183,3.8251
A-2,"Salida de la vía por la izquierda, otro tipo",2019,4,151,2.649
A-2,"Salida de la vía por la izquierda, otro tipo",2020,3,100,3.0
A-2,"Salida de la vía por la izquierda, otro tipo",2021,2,135,1.4815
A-2,"Salida de la vía por la izquierda, otro tipo",2022,3,203,1.4778
A-2,"Salida de la vía por la izquierda, otro tipo",2023,5,168,2.9762
A-2,"Salida de la vía por la izquierda, otro tipo",2024,5,106,4.717
A-2,Vuelco,2016,2,181,1.105
A-2,Vuelco,2022,1,203,0.4926
A-2 C.S,Colisión por alcance,2019,1,1,100.0
A-2 CAMBIO,Colisión lateral,2019,1,1,100.0
A-2 CS,"Salida de la vía por la izquierda, otro tipo",2019,1,1,100.0
A-2 V.S,Salida de la vía por la izquierda con colisión,2019,1,1,100.0
A-2 VS,Colisión múltiple,2019,1,1,100.0
"A-2, V.S.",Colisión lateral,2019,1,1,100.0
A-3,Atropello a animales,2022,1,115,0.8696
A-3,Atropello a personas,2016,6,188,3.1915
A-3,Atropello a personas,2018,1,156,0.641
A-3,Atropello a personas,2019,4,140,2.8571
A-3,Atropello a personas,2020,2,92,2.1739
A-3,Atropello a personas,2022,2,115,1.7391
A-3,Atropello a personas,2023,3,115,2.6087
A-3,Atropello a personas,2024,2,145,1.3793
A-3,Caída,2016,8,188,4.2553
A-3,Caída,2017,5,143,3.4965
A-3,Caída,2018,8,156,5.1282
A-3,Caída,2019,6,140,4.2857
A-3,Caída,2020,5,92,5.4348
A-3,Caída,2021,5,84,5.9524
A-3,Caída,2022,5,115,4.3478
A-3,Caída,2023,6,115,5.2174
A-3,Caída,2024,6,145,4.1379
A-3,Colisión contra obstáculo o elemento de la vía,2016,2,188,1.0638
A-3,Colisión contra obstáculo o elemento de la vía,2017,3,143,2.0979
A-3,Colisión contra obstáculo o elemento de la vía,2018,3,156,1.9231
A-3,Colisión contra obstáculo o elemento de la vía,2019,3,140,2.1429
A-3,Colisión contra obstáculo o elemento de la vía,2020,2,92,2.1739
A-3,Colisión contra obstáculo o elemento de la vía,2021,2,84,2.381
A-3,Colisión contra obstáculo o elemento de la vía,2022,2,115,1.7391
A-3,Colisión contra obstáculo o elemento de la vía,2023,1,115,0.8696
A-3,Colisión contra obstáculo o elemento de la vía,2024,5,145,3.4483
A-3,Colisión frontal,2017,1,143,0.6993
A-3,Colisión frontal,2018,1,156,0.641
A-3,Colisión frontal,2019,1,140,0.7143
A-3,Colisión frontal,2022,1,115,0.8696
A-3,Colisión frontal,2024,2,145,1.3793
A-3,Colisión fronto-lateral,2016,2,188,1.0638
A-3,Colisión fronto-lateral,2017,5,143,3.4965
A-3,Colisión fronto-lateral,2018,7,156,4.4872
A-3,Colisión fronto-lateral,2019,6,140,4.2857
A-3,Colisión fronto-lateral,2020,2,92,2.1739
A-3,Colisión fronto-lateral,2021,5,84,5.9524
A-3,Colisión fronto-lateral,2022,5,115,4.3478
A-3,Colisión fronto-lateral,2023,6,115,5.2174
A-3,Colisión fronto-lateral,2024,5,145,3.4483
A-3,Colisión lateral,2016,10,188,5.3191
A-3,Colisión lateral,2017,8,143,5.5944
A-3,Colisión lateral,2018,3,156,1.9231
A-3,Colisión lateral,2019,7,140,5.0
A-3,Colisión lateral,2020,5,92,5.4348
A-3,Colisión lateral,2021,4,84,4.7619
A-3,Colisión lateral,2022,9,115,7.8261
A-3,Colisión lateral,2023,10,115,8.6957
A-3,Colisión lateral,2024,9,145,6.2069
A-3,Colisión múltiple,2016,26,188,13.8298
A-3,Colisión múltiple,2017,12,143,8.3916
A-3,Colisión múltiple,2018,2,156,1.2821
A-3,Colisión múltiple,2019,13,140,9.2857
A-3,Colisión múltiple,2020,5,92,5.4348
A-3,Colisión múltiple,2021,5,84,5.9524
A-3,Colisión múltiple,2022,9,115,7.8261
A-3,Colisión múltiple,2023,10,115,8.6957
A-3,Colisión múltiple,2024,17,145,11.7241
A-3,Colisión por alcance,2016,39,188,20.7447
A-3,Colisión por alcance,2017,69,143,48.2517
A-3,Colisión por alcance,2018,72,156,46.1538
A-3,Colisión por alcance,2019,54,140,38.5714
A-3,Colisión por alcance,2020,29,92,31.5217
A-3,Colisión por alcance,2021,32,84,38.0952
A-3,Colisión por alcance,2022,50,115,43.4783
A-3,Colisión por alcance,2023,39,115,33.913
A-3,Colisión por alcance,2024,52,145,35.8621
A-3,Otro tipo de accidente,2017,2,143,1.3986
A-3,Otro tipo de accidente,2018,2,156,1.2821
A-3,Otro tipo de accidente,2019,1,140,0.7143
A-3,Otro tipo de accidente,2020,1,92,1.087
A-3,Otro tipo de accidente,2021,5,84,5.9524
A-3,Otro tipo de accidente,2024,1,145,0.6897
A-3,Salida de la vía por la derecha con colisión,2016,12,188,6.383
A-3,Salida de la vía por la derecha con colisión,2017,7,143,4.8951
A-3,Salida de la vía por la derecha con colisión,2018,15,156,9.6154
A-3,Salida de la vía por la derecha con colisión,2019,6,140,4.2857
A-3,Salida de la vía por la derecha con colisión,2020,11,92,11.9565
A-3,Salida de la vía por la derecha con colisión,2021,6,84,7.1429
A-3,Salida de la vía por la derecha con colisión,2022,7,115,6.087
A-3,Salida de la vía por la derecha con colisión,2023,8,115,6.9565
A-3,Salida de la vía por la derecha con colisión,2024,6,145,4.1379
A-3,Salida de la vía por la derecha con despeñamiento,2018,1,156,0.641
A-3,Salida de la vía por la derecha con despeñamiento,2022,1,115,0.8696
A-3,Salida de la vía por la derecha con vuelco,2016,15,188,7.9787
A-3,Salida de la vía por la derecha con vuelco,2017,6,143,4.1958
A-3,Salida de la vía por la derecha con vuelco,2018,11,156,7.0513
A-3,Salida de la vía por la derecha con vuelco,2019,9,140,6.4286
