SECCION_ID,YEAR,CARRETERA,dominant_cause,n_dominant_accidents
M-533_4,2023,M-533,Atropello a animales,1
M-533_5,2020,M-533,Colisión lateral,1
M-533_6,2016,M-533,Colisión fronto-lateral,1
M-533_6,2017,M-533,Salida de la vía por la derecha con vuelco,1
M-533_6,2018,M-533,"Salida de la vía por la izquierda, otro tipo",3
M-533_6,2019,M-533,Salida de la vía por la izquierda con colisión,1
M-533_6,2020,M-533,Caída,1
M-533_6,2022,M-533,"Salida de la vía por la izquierda, otro tipo",2
M-533_6,2023,M-533,Colisión frontal,1
M-533_6,2024,M-533,Colisión fronto-lateral,1
M-533_7,2020,M-533,Caída,1
M-533_8,2020,M-533,Colisión por alcance,1
M-533_8,2024,M-533,Caída,1
M-535_5,2018,M-535,Salida de la vía por la derecha otro tipo,1
M-535_8,2017,M-535,Colisión lateral,1
M-537_1,2019,M-537,Colisión frontal,1
M-537_1,2021,M-537,Salida de la vía por la derecha con vuelco,1
M-537_3,2023,M-537,"Salida de la vía por la izquierda, otro tipo",1
M-537_6,2021,M-537,Salida de la vía por la izquierda con despeñamiento,1
M-537_7,2018,M-537,Atropello a personas,1
M-538_5,2018,M-538,Salida de la vía por la derecha otro tipo,1
M-539_0,2023,M-539,Colisión por alcance,1
M-539_1,2020,M-539,Salida de la vía por la derecha otro tipo,1
M-539_2,2016,M-539,Salida de la vía por la derecha otro tipo,1
M-539_2,2017,M-539,Salida de la vía por la derecha otro tipo,1
M-539_2,2018,M-539,Caída,1
M-539_2,2019,M-539,Salida de la vía por la derecha otro tipo,2
M-539_2,2020,M-539,Salida de la vía por la derecha otro tipo,1
M-539_2,2022,M-539,Salida de la vía por la derecha con colisión,2
M-539_2,2023,M-539,Salida de la vía por la derecha con colisión,1
M-539_2,2024,M-539,Salida de la vía por la derecha con colisión,2
M-539_3,2017,M-539,Salida de la vía por la derecha con colisión,1
M-539_3,2018,M-539,Salida de la vía por la derecha con vuelco,1
M-539_3,2019,M-539,Salida de la vía por la derecha con colisión,1
M-539_3,2020,M-539,Salida de la vía por la derecha otro tipo,1
